Test File Path,Test File,Date Added,Modification Count,Number of People Involved
Lib\sandbox\maskedarray\alternative_versions\test_mrecarray.py,test_mrecarray.py,2007-03-21 21:28:05+00:00,1,1
Lib\sandbox\pyloess\tests\test_mpyloess.py,test_mpyloess.py,2007-03-27 06:38:36+00:00,1,1
Lib\sandbox\maskedarray\tests\test_mstats.py,test_mstats.py,2007-03-27 19:12:29+00:00,3,3
Lib\sandbox\timeseries\lib\tests\test_filters.py,test_filters.py,2007-04-12 20:01:06+00:00,1,1
Lib\sandbox\timeseries\lib\tests\test_interpolate.py,test_interpolate.py,2007-04-12 20:01:06+00:00,2,2
Lib\sandbox\timeseries\lib\tests\test_moving_funcs.py,test_moving_funcs.py,2007-04-12 20:05:35+00:00,3,3
Lib\misc\tests\test_pilutil.py,test_pilutil.py,2007-04-16 21:54:00+00:00,2,2
Lib\optimize\tests\test_nonlin.py,test_nonlin.py,2007-05-13 16:46:21+00:00,1,1
Lib\sandbox\lobpcg\tests\test_lobpcg.py,test_lobpcg.py,2007-05-24 12:30:05+00:00,1,1
Lib\sandbox\pyem\tests\test_gauss_mix.py,test_gauss_mix.py,2007-06-09 06:42:03+00:00,4,4
Lib\sandbox\maskedarray\tests\test_morestats.py,test_morestats.py,2007-07-09 15:38:26+00:00,1,1
Lib\sandbox\multigrid\tests\test_relaxation.py,test_relaxation.py,2007-07-12 08:08:15+00:00,1,1
Lib\special\tests\test_spfun_stats.py,test_spfun_stats.py,2007-07-23 07:33:16+00:00,2,2
Lib\signal\tests\test_wavelets.py,test_wavelets.py,2007-08-11 00:08:07+00:00,2,2
scipy\cluster\tests\test_vq.py,test_vq.py,2007-08-21 22:02:33+00:00,73,73
scipy\fftpack\tests\test_basic.py,test_basic.py,2007-08-21 22:02:33+00:00,82,82
scipy\fftpack\tests\test_helper.py,test_helper.py,2007-08-21 22:02:33+00:00,24,24
scipy\fftpack\tests\test_pseudo_diffs.py,test_pseudo_diffs.py,2007-08-21 22:02:33+00:00,23,23
scipy\integrate\tests\test_integrate.py,test_integrate.py,2007-08-21 22:02:33+00:00,63,63
scipy\integrate\tests\test_quadpack.py,test_quadpack.py,2007-08-21 22:02:33+00:00,51,51
scipy\integrate\tests\test_quadrature.py,test_quadrature.py,2007-08-21 22:02:33+00:00,37,37
scipy\interpolate\tests\test_fitpack.py,test_fitpack.py,2007-08-21 22:02:33+00:00,72,72
scipy\interpolate\tests\test_interpolate.py,test_interpolate.py,2007-08-21 22:02:33+00:00,164,164
scipy\io\tests\test_array_import.py,test_array_import.py,2007-08-21 22:02:33+00:00,8,8
scipy\io\tests\test_mio.py,test_mio.py,2007-08-21 22:02:33+00:00,7,7
scipy\io\tests\test_mmio.py,test_mmio.py,2007-08-21 22:02:33+00:00,70,70
scipy\io\tests\test_npfile.py,test_npfile.py,2007-08-21 22:02:33+00:00,9,9
scipy\io\tests\test_recaster.py,test_recaster.py,2007-08-21 22:02:33+00:00,12,12
scipy\lib\blas\tests\test_blas.py,test_blas.py,2007-08-21 22:02:33+00:00,16,16
scipy\lib\blas\tests\test_fblas.py,test_fblas.py,2007-08-21 22:02:33+00:00,21,21
scipy\lib\lapack\tests\test_lapack.py,test_lapack.py,2007-08-21 22:02:33+00:00,16,16
scipy\linalg\tests\test_atlas_version.py,test_atlas_version.py,2007-08-21 22:02:33+00:00,5,5
scipy\linalg\tests\test_basic.py,test_basic.py,2007-08-21 22:02:33+00:00,129,129
scipy\linalg\tests\test_blas.py,test_blas.py,2007-08-21 22:02:33+00:00,50,50
scipy\linalg\tests\test_decomp.py,test_decomp.py,2007-08-21 22:02:33+00:00,171,171
scipy\linalg\tests\test_fblas.py,test_fblas.py,2007-08-21 22:02:33+00:00,37,37
scipy\linalg\tests\test_iterative.py,test_iterative.py,2007-08-21 22:02:33+00:00,5,5
scipy\linalg\tests\test_lapack.py,test_lapack.py,2007-08-21 22:02:33+00:00,199,199
scipy\linalg\tests\test_matfuncs.py,test_matfuncs.py,2007-08-21 22:02:33+00:00,95,95
scipy\linsolve\umfpack\tests\test_umfpack.py,test_umfpack.py,2007-08-21 22:02:33+00:00,9,9
scipy\maxentropy\tests\test_maxentropy.py,test_maxentropy.py,2007-08-21 22:02:33+00:00,8,8
scipy\misc\tests\test_pilutil.py,test_pilutil.py,2007-08-21 22:02:33+00:00,48,48
scipy\ndimage\tests\test_ndimage.py,test_ndimage.py,2007-08-21 22:02:33+00:00,102,102
scipy\odr\tests\test_odr.py,test_odr.py,2007-08-21 22:02:33+00:00,40,40
scipy\optimize\tests\test_cobyla.py,test_cobyla.py,2007-08-21 22:02:33+00:00,32,32
scipy\optimize\tests\test_nonlin.py,test_nonlin.py,2007-08-21 22:02:33+00:00,48,48
scipy\optimize\tests\test_optimize.py,test_optimize.py,2007-08-21 22:02:33+00:00,238,238
scipy\optimize\tests\test_zeros.py,test_zeros.py,2007-08-21 22:02:33+00:00,67,67
scipy\sandbox\arpack\tests\test_arpack.py,test_arpack.py,2007-08-21 22:02:33+00:00,4,4
scipy\sandbox\arpack\tests\test_speigs.py,test_speigs.py,2007-08-21 22:02:33+00:00,7,7
scipy\sandbox\arraysetops\tests\test_arraysetops.py,test_arraysetops.py,2007-08-21 22:02:33+00:00,1,1
scipy\sandbox\buildgrid\test_build_grid.py,test_build_grid.py,2007-08-21 22:02:33+00:00,2,2
scipy\sandbox\cdavid\tests\test_autocorr.py,test_autocorr.py,2007-08-21 22:02:33+00:00,6,6
scipy\sandbox\cdavid\tests\test_lpc.py,test_lpc.py,2007-08-21 22:02:33+00:00,6,6
scipy\sandbox\cdavid\tests\test_segmentaxis.py,test_segmentaxis.py,2007-08-21 22:02:33+00:00,7,7
scipy\sandbox\delaunay\tests\test_triangulate.py,test_triangulate.py,2007-08-21 22:02:33+00:00,3,3
scipy\sandbox\exmplpackage\tests\test_foo.py,test_foo.py,2007-08-21 22:02:33+00:00,14,14
scipy\sandbox\exmplpackage\yyy\tests\test_yyy.py,test_yyy.py,2007-08-21 22:02:33+00:00,4,4
scipy\sandbox\fdfpack\tests\test_fdf.py,test_fdf.py,2007-08-21 22:02:33+00:00,5,5
scipy\sandbox\lobpcg\tests\test_lobpcg.py,test_lobpcg.py,2007-08-21 22:02:33+00:00,4,4
scipy\sandbox\maskedarray\alternative_versions\test_mrecarray.py,test_mrecarray.py,2007-08-21 22:02:33+00:00,4,4
scipy\sandbox\maskedarray\tests\test_core.py,test_core.py,2007-08-21 22:02:33+00:00,11,11
scipy\sandbox\maskedarray\tests\test_extras.py,test_extras.py,2007-08-21 22:02:33+00:00,7,7
scipy\sandbox\maskedarray\tests\test_morestats.py,test_morestats.py,2007-08-21 22:02:33+00:00,7,7
scipy\sandbox\maskedarray\tests\test_mrecords.py,test_mrecords.py,2007-08-21 22:02:33+00:00,8,8
scipy\sandbox\maskedarray\tests\test_mstats.py,test_mstats.py,2007-08-21 22:02:33+00:00,6,6
scipy\sandbox\maskedarray\tests\test_subclassing.py,test_subclassing.py,2007-08-21 22:02:33+00:00,9,9
scipy\sandbox\models\tests\test_formula.py,test_formula.py,2007-08-21 22:02:33+00:00,1,1
scipy\sandbox\models\tests\test_glm.py,test_glm.py,2007-08-21 22:02:33+00:00,1,1
scipy\sandbox\models\tests\test_regression.py,test_regression.py,2007-08-21 22:02:33+00:00,1,1
scipy\sandbox\models\tests\test_rlm.py,test_rlm.py,2007-08-21 22:02:33+00:00,1,1
scipy\sandbox\models\tests\test_utils.py,test_utils.py,2007-08-21 22:02:33+00:00,1,1
scipy\sandbox\montecarlo\tests\test_dictsampler.py,test_dictsampler.py,2007-08-21 22:02:33+00:00,6,6
scipy\sandbox\montecarlo\tests\test_intsampler.py,test_intsampler.py,2007-08-21 22:02:33+00:00,6,6
scipy\sandbox\multigrid\tests\test_relaxation.py,test_relaxation.py,2007-08-21 22:02:33+00:00,9,9
scipy\sandbox\newoptimize\test_optimize.py,test_optimize.py,2007-08-21 22:02:33+00:00,1,1
scipy\sandbox\numexpr\tests\test_numexpr.py,test_numexpr.py,2007-08-21 22:02:33+00:00,6,6
scipy\sandbox\pyem\tests\test_densities.py,test_densities.py,2007-08-21 22:02:33+00:00,3,3
scipy\sandbox\pyem\tests\test_examples.py,test_examples.py,2007-08-21 22:02:33+00:00,2,2
scipy\sandbox\pyem\tests\test_gauss_mix.py,test_gauss_mix.py,2007-08-21 22:02:33+00:00,2,2
scipy\sandbox\pyem\tests\test_gmm_em.py,test_gmm_em.py,2007-08-21 22:02:33+00:00,2,2
scipy\sandbox\pyem\tests\test_online_em.py,test_online_em.py,2007-08-21 22:02:33+00:00,2,2
scipy\sandbox\pyloess\tests\test_mpyloess.py,test_mpyloess.py,2007-08-21 22:02:33+00:00,6,6
scipy\sandbox\pyloess\tests\test_pyloess.py,test_pyloess.py,2007-08-21 22:02:33+00:00,7,7
scipy\sandbox\rbf\tests\test_rbf.py,test_rbf.py,2007-08-21 22:02:33+00:00,6,6
scipy\sandbox\spline\tests\dierckx_test_data.py,dierckx_test_data.py,2007-08-21 22:02:33+00:00,2,2
scipy\sandbox\spline\tests\test_fitpack.py,test_fitpack.py,2007-08-21 22:02:33+00:00,7,7
scipy\sandbox\spline\tests\test_spline.py,test_spline.py,2007-08-21 22:02:33+00:00,7,7
scipy\sandbox\svm\tests\test_classification.py,test_classification.py,2007-08-21 22:02:33+00:00,2,2
scipy\sandbox\svm\tests\test_dataset.py,test_dataset.py,2007-08-21 22:02:33+00:00,2,2
scipy\sandbox\svm\tests\test_kernel.py,test_kernel.py,2007-08-21 22:02:33+00:00,2,2
scipy\sandbox\svm\tests\test_libsvm.py,test_libsvm.py,2007-08-21 22:02:33+00:00,2,2
scipy\sandbox\svm\tests\test_oneclass.py,test_oneclass.py,2007-08-21 22:02:33+00:00,2,2
scipy\sandbox\svm\tests\test_regression.py,test_regression.py,2007-08-21 22:02:33+00:00,2,2
scipy\sandbox\svm\tests\test_speed.py,test_speed.py,2007-08-21 22:02:33+00:00,3,3
scipy\sandbox\timeseries\io\fame\tests\test_fame.py,test_fame.py,2007-08-21 22:02:33+00:00,1,1
scipy\sandbox\timeseries\lib\tests\test_interpolate.py,test_interpolate.py,2007-08-21 22:02:33+00:00,6,6
scipy\sandbox\timeseries\lib\tests\test_moving_funcs.py,test_moving_funcs.py,2007-08-21 22:02:33+00:00,8,8
scipy\sandbox\timeseries\tests\test_dates.py,test_dates.py,2007-08-21 22:02:33+00:00,8,8
scipy\sandbox\timeseries\tests\test_multitimeseries.py,test_multitimeseries.py,2007-08-21 22:02:33+00:00,2,2
scipy\sandbox\timeseries\tests\test_timeseries.py,test_timeseries.py,2007-08-21 22:02:33+00:00,10,10
scipy\signal\tests\test_signaltools.py,test_signaltools.py,2007-08-21 22:02:33+00:00,207,207
scipy\signal\tests\test_wavelets.py,test_wavelets.py,2007-08-21 22:02:33+00:00,29,29
scipy\sparse\tests\test_sparse.py,test_sparse.py,2007-08-21 22:02:33+00:00,51,51
scipy\special\tests\test_basic.py,test_basic.py,2007-08-21 22:02:33+00:00,236,236
scipy\special\tests\test_spfun_stats.py,test_spfun_stats.py,2007-08-21 22:02:33+00:00,17,17
scipy\stats\tests\test_distributions.py,test_distributions.py,2007-08-21 22:02:33+00:00,462,462
scipy\stats\tests\test_morestats.py,test_morestats.py,2007-08-21 22:02:33+00:00,186,186
scipy\stats\tests\test_stats.py,test_stats.py,2007-08-21 22:02:33+00:00,490,490
scipy\tests\test_basic.py,test_basic.py,2007-08-21 22:02:33+00:00,2,2
scipy\tests\test_basic1a.py,test_basic1a.py,2007-08-21 22:02:33+00:00,2,2
scipy\tests\test_common.py,test_common.py,2007-08-21 22:02:33+00:00,2,2
scipy\tests\test_handy.py,test_handy.py,2007-08-21 22:02:33+00:00,2,2
scipy\tests\test_limits.py,test_limits.py,2007-08-21 22:02:33+00:00,1,1
scipy\weave\tests\test_ast_tools.py,test_ast_tools.py,2007-08-21 22:02:33+00:00,12,12
